Stocks,EndingMarketValue
CONSOL STOCK A,9959220
COAL INDIA,7007408
SUNCOKE LTD,5258909
ROYAL DUTCH SHELL,11915939
ENI OPTION B,3594163
CONOC PHILLIP,13941638
NRP,7341604
CLOUD PEAK STOCK,4959972
ROYAL DUTCH SHELL A,17505553
CLOTHING UNITED A,478415214
CLOTHING UNITED B,148408992
FOOD SUPERMARKT,209012070
PAPER PRODUCTS STOCK OPTION,94836004
CHAIRS AND SOFAS INC,414903755
HATS HATS HATS,74039817
PEAR INC,491661012
DOODLE SHARE SPLIT C,128138781
BUILDING HVAC SYSTEMS,264424960
SOLAR STOCK CLASS A,188336179
WIGS R US,33719050
